Processes: 387 total, 3 running, 384 sleeping, 2586 threads 
2020/09/09 10:04:07
Load Avg: 2.41, 2.65, 2.77 
CPU usage: 6.84% user, 12.70% sys, 80.45% idle 
SharedLibs: 135M resident, 40M data, 16M linkedit.
MemRegions: 144043 total, 2227M resident, 53M private, 850M shared.
PhysMem: 8140M used (1677M wired), 50M unused.
VM: 1869G vsize, 1883M framework vsize, 29651980(0) swapins, 30319546(0) swapouts.
Networks: packets: 4338384/2599M in, 3143144/1589M out.
Disks: 6390050/212G read, 3316156/147G written.

PID    COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM   PURG  CMPRS PGRP  PPID  STATE    BOOSTS     %CPU_ME %CPU_OTHRS UID FAULTS    COW    MSGSENT   MSGRECV   SYSBSD   SYSMACH   CSW       PAGEINS IDLEW   POWER INSTRS CYCLES USER               #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
36899  FinderSyncAPIExt 0.0  00:01.73 3     1   145    5380K 0B    3916K 36899 1     sleeping *0[39]     0.00000 0.00000    502 22700     273    1149      246       37112    10752     4804      108     1484    0.0   0      0      wadkan             N/A    N/A   N/A   N/A   N/A   N/A  
36895  Dropbox Web Help 0.0  00:01.88 15    1   136    43M   0B    41M   36863 36863 sleeping *0[4]      0.00000 0.00000    502 30560     1709   6872      4542      7773     56245     8372      6       2360    0.0   0      0      wadkan             N/A    N/A   N/A   N/A   N/A   N/A  
36894  mdworker_shared  0.0  00:00.21 4     1   50     9792K 0B    8872K 36894 1     sleeping *0[1]      0.00000 0.00000    502 15554     195    960       392       2148     1908      750       4       0       0.0   0      0      wadkan             N/A    N/A   N/A   N/A   N/A   N/A  
36893  mdworker_shared  0.0  00:00.30 4     1   61     14M   0B    13M   36893 1     sleeping *0[1]      0.00000 0.00000    502 21821     215    1092      425       2762     2533      885       147     0       0.0   0      0      wadkan             N/A    N/A   N/A   N/A   N/A   N/A  
36890  DropboxActivityP 0.0  00:00.12 3     1   140    3480K 0B    2032K 36890 1     sleeping *0[65]     0.00000 0.00000    502 4171      256    1613      312       2388     3319      1467      44      46      0.0   0      0      wadkan             N/A    N/A   N/A   N/A   N/A   N/A  
36887  Dropbox Web Help 0.0  00:00.68 15    1   137    40M   0B    40M   36863 36863 sleeping *0[4]      0.00000 0.00000    502 30422     1713   2132      866       9607     3536      2666      0       110     0.0   0      0      wadkan             N/A    N/A   N/A   N/A   N/A   N/A  
36886  Dropbox Web Help 0.0  00:02.84 15    1   145    46M   0B    40M   36863 36863 sleeping *0[5]      0.00000 0.00000    502 34092     1738   7834      4811      14628    60575     11787     108     2289    0.0   0      0      wadkan             N/A    N/A   N/A   N/A   N/A   N/A  
36883  VTDecoderXPCServ 0.0  00:00.07 2     1   55     3640K 0B    3344K 36883 1     sleeping *0[6]      0.00000 0.00000    502 2458      182    23404     9534      908      14597     183       4       0       0.0   0      0      wadkan             N/A    N/A   N/A   N/A   N/A   N/A  
36879  Dropbox Web Help 0.0  00:00.62 10    1   167    39M   0B    23M   36863 36863 sleeping *0[1]      0.00000 0.00000    502 20649     1786   33871     14355     5547     33393     4909      347     531     0.0   0      0      wadkan             N/A    N/A   N/A   N/A   N/A   N/A  
36869  garcon           0.0  00:00.35 3     1   150    22M   0B    21M   36869 1     sleeping *0[39]     0.00000 0.00000    502 42299     291    1227      252       5312     2965      1586      0       27      0.0   0      0      wadkan             N/A    N/A   N/A   N/A   N/A   N/A  
